dir,file_name,exponential_smoothing,xgboost,random_forest
realAdExchange,exchange-2_cpc_results.csv,15.4,68.6,60.099999999999994
realAdExchange,exchange-2_cpm_results.csv,-10.2,74.5,66.7
realAdExchange,exchange-3_cpc_results.csv,-11.399999999999999,69.6,64.60000000000001
realAdExchange,exchange-3_cpm_results.csv,-14.8,73.8,63.4
realAdExchange,exchange-4_cpc_results.csv,-16.2,76.6,66.1
realAdExchange,exchange-4_cpm_results.csv,-9.899999999999999,69.3,62.0
realAWSCloudwatch,ec2_cpu_utilization_24ae8d.csv,-15.5,79.1,75.7
realAWSCloudwatch,ec2_cpu_utilization_53ea38.csv,-13.0,75.1,65.89999999999999
realAWSCloudwatch,ec2_cpu_utilization_5f5533.csv,-8.0,69.6,61.99999999999999
realAWSCloudwatch,ec2_cpu_utilization_77c1ca.csv,-11.900000000000002,69.5,67.5
realAWSCloudwatch,ec2_cpu_utilization_825cc2.csv,-14.399999999999999,56.900000000000006,29.800000000000004
realAWSCloudwatch,ec2_cpu_utilization_ac20cd.csv,-13.299999999999999,75.30000000000001,62.7
realAWSCloudwatch,ec2_cpu_utilization_c6585a.csv,-5.400000000000002,71.5,65.10000000000001
realAWSCloudwatch,ec2_cpu_utilization_fe7f93.csv,-16.6,71.7,69.5
realAWSCloudwatch,ec2_disk_write_bytes_1ef3de.csv,-5.800000000000001,72.5,66.5
realAWSCloudwatch,ec2_disk_write_bytes_c0d644.csv,-7.599999999999998,72.3,61.5
realAWSCloudwatch,ec2_network_in_257a54.csv,-3.1000000000000014,45.89999999999999,64.4
realAWSCloudwatch,ec2_network_in_5abac7.csv,-12.199999999999996,65.2,34.1
realAWSCloudwatch,elb_request_count_8c0756.csv,-9.400000000000002,65.6,66.3
realAWSCloudwatch,grok_asg_anomaly.csv,22.799999999999997,68.5,58.0
realAWSCloudwatch,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,-13.7,70.0,59.5
realAWSCloudwatch,rds_cpu_utilization_cc0c53.csv,-13.100000000000001,72.1,62.199999999999996
realAWSCloudwatch,rds_cpu_utilization_e47b3b.csv,-43.1,75.7,64.4
realKnownCause,ambient_temperature_system_failure.csv,-47.4,67.6,72.1
realKnownCause,cpu_utilization_asg_misconfiguration.csv,-35.1,53.599999999999994,75.0
realKnownCause,ec2_request_latency_system_failure.csv,-29.7,73.4,22.700000000000003
realKnownCause,machine_temperature_system_failure.csv,-48.3,71.9,50.4
realKnownCause,nyc_taxi.csv,-26.2,77.3,71.19999999999999
realKnownCause,rogue_agent_key_hold.csv,-48.699999999999996,64.19999999999999,22.200000000000003
realKnownCause,rogue_agent_key_updown.csv,-41.5,62.3,40.4
realTweets,Twitter_volume_AAPL.csv,-25.0,66.0,72.10000000000001
realTweets,Twitter_volume_AMZN.csv,-22.0,69.0,33.4
realTweets,Twitter_volume_CRM.csv,-30.4,41.800000000000004,36.00000000000001
realTweets,Twitter_volume_CVS.csv,-28.3,62.800000000000004,43.7
realTweets,Twitter_volume_FB.csv,-38.5,39.49999999999999,34.2
realTweets,Twitter_volume_GOOG.csv,-31.4,48.199999999999996,40.2
realTweets,Twitter_volume_IBM.csv,-30.3,42.60000000000001,39.699999999999996
realTweets,Twitter_volume_KO.csv,-25.8,36.699999999999996,44.00000000000001
realTweets,Twitter_volume_PFE.csv,-40.8,42.7,44.7
realTweets,Twitter_volume_UPS.csv,-41.0,36.50000000000001,38.699999999999996
artificialWithAnomaly,art_daily_flatmiddle.csv,-31.000000000000004,61.7,58.7
artificialWithAnomaly,art_daily_jumpsdown.csv,-45.4,35.300000000000004,65.6
artificialWithAnomaly,art_daily_jumpsup.csv,-44.400000000000006,46.7,74.8
artificialWithAnomaly,art_daily_nojump.csv,-51.99999999999999,30.500000000000007,63.1
artificialWithAnomaly,art_increase_spike_density.csv,-34.0,68.8,61.9
artificialWithAnomaly,art_load_balancer_spikes.csv,-31.900000000000002,39.900000000000006,34.099999999999994
artificialNoAnomaly,art_daily_no_noise.csv,-53.0,74.6,52.0
artificialNoAnomaly,art_daily_perfect_square_wave.csv,-50.99999999999999,40.9,36.5
artificialNoAnomaly,art_daily_small_noise.csv,-45.8,60.400000000000006,44.900000000000006
artificialNoAnomaly,art_flatline.csv,-17.5,56.50000000000001,57.0
artificialNoAnomaly,art_noisy.csv,-34.3,74.3,30.900000000000006
realTraffic,TravelTime_387.csv,-46.1,40.900000000000006,48.49999999999999
realTraffic,TravelTime_451.csv,-41.8,70.2,22.0
realTraffic,occupancy_6005.csv,-31.800000000000004,54.1,44.400000000000006
realTraffic,occupancy_t4013.csv,-34.599999999999994,70.9,40.4
realTraffic,speed_6005.csv,-29.199999999999996,61.2,54.800000000000004
realTraffic,speed_7578.csv,-26.7,74.2,65.30000000000001
realTraffic,speed_t4013.csv,-23.099999999999998,44.8,26.5
